               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089889,            0.011761,            0.006291,             0.20388,             0.33145,             0.19672,            0.082917,             0.05982,           0.0049225,           0.0050566,            0.070556,           0.0032716,           0.0032716
                   1,            0.061014,            0.010376,           0.0041583,             0.41198,             0.48865,             0.40453,             0.17056,             0.05941,           0.0040446,           0.0033077,            0.040545,           0.0065944,           0.0065944
                   2,            0.055798,           0.0091839,           0.0033762,              0.5553,             0.55018,             0.57392,              0.2236,            0.053229,           0.0037775,           0.0026922,            0.010524,           0.0099065,           0.0099065
                   3,            0.052012,            0.007073,           0.0031128,             0.45624,             0.59813,             0.47602,             0.21962,            0.053083,           0.0038237,           0.0023934,            0.009952,            0.009952,            0.009952
                   4,            0.049091,           0.0078789,           0.0027937,             0.56274,             0.60621,             0.60476,             0.32972,            0.049076,           0.0031394,           0.0022291,            0.009952,            0.009952,            0.009952
                   5,            0.046647,           0.0061729,            0.002488,             0.69556,             0.64055,             0.73104,             0.32685,            0.049208,           0.0029005,           0.0020434,            0.009936,            0.009936,            0.009936
                   6,            0.042838,           0.0064431,           0.0022415,             0.78186,             0.70239,             0.77676,             0.45685,            0.044427,           0.0026747,           0.0017402,             0.00992,             0.00992,             0.00992
                   7,            0.042539,           0.0053325,           0.0020401,             0.78532,             0.72976,             0.79905,             0.44699,            0.044562,           0.0026886,           0.0015187,            0.009904,            0.009904,            0.009904
                   8,            0.041257,           0.0061658,           0.0019378,             0.80295,             0.75045,             0.79342,             0.38123,            0.050698,           0.0026069,           0.0014108,            0.009888,            0.009888,            0.009888
                   9,            0.040383,           0.0062081,           0.0018806,             0.82276,             0.75657,             0.79346,             0.48592,            0.043402,           0.0026648,           0.0014822,            0.009872,            0.009872,            0.009872
                  10,            0.039781,           0.0066176,           0.0016317,             0.81221,             0.78524,             0.81185,             0.49421,            0.042099,           0.0025783,            0.001277,            0.009856,            0.009856,            0.009856
                  11,            0.038547,           0.0067062,           0.0015056,             0.84136,              0.7543,              0.8082,             0.43616,            0.044449,           0.0026475,           0.0012228,             0.00984,             0.00984,             0.00984
                  12,            0.037377,           0.0055562,           0.0014062,             0.77667,             0.77349,                0.81,             0.42343,            0.044462,            0.002895,           0.0010775,            0.009824,            0.009824,            0.009824
                  13,            0.037764,           0.0057324,           0.0013602,             0.77966,             0.72448,             0.78999,             0.46975,            0.043179,            0.003008,           0.0010973,            0.009808,            0.009808,            0.009808
                  14,            0.035203,           0.0045565,           0.0012609,             0.81885,             0.75754,             0.82577,             0.47452,            0.043695,           0.0026867,           0.0013193,            0.009792,            0.009792,            0.009792
                  15,            0.035693,           0.0060724,           0.0013024,             0.88474,             0.75791,             0.82787,             0.47889,            0.044092,           0.0026121,           0.0012425,            0.009776,            0.009776,            0.009776
                  16,            0.036322,           0.0057281,           0.0012734,             0.85602,             0.81872,             0.84384,             0.41168,            0.045576,           0.0025721,           0.0010127,             0.00976,             0.00976,             0.00976
                  17,            0.036041,           0.0058492,           0.0011901,              0.8924,              0.7634,              0.8586,             0.52225,            0.040408,              0.0026,          0.00075221,            0.009744,            0.009744,            0.009744
                  18,            0.035314,            0.005213,           0.0011518,             0.81075,              0.7652,             0.80763,             0.50161,            0.041376,           0.0026884,           0.0010992,            0.009728,            0.009728,            0.009728
                  19,            0.034663,           0.0048716,           0.0010907,             0.79141,             0.78111,             0.83082,              0.5103,              0.0411,           0.0026242,          0.00093422,            0.009712,            0.009712,            0.009712
                  20,            0.034905,           0.0061391,           0.0011714,             0.81761,             0.76815,             0.81563,             0.46613,            0.043375,           0.0026135,          0.00095868,            0.009696,            0.009696,            0.009696
                  21,            0.034376,           0.0058032,           0.0011085,             0.83855,             0.79026,             0.82949,             0.48494,            0.041126,           0.0026712,          0.00086634,             0.00968,             0.00968,             0.00968
                  22,            0.033592,           0.0050899,            0.001024,             0.85139,             0.75541,             0.83704,             0.52262,             0.04058,           0.0026561,           0.0012418,            0.009664,            0.009664,            0.009664
                  23,            0.034317,           0.0053246,           0.0010051,             0.78142,             0.77796,             0.78681,             0.47762,            0.041962,           0.0027266,          0.00088561,            0.009648,            0.009648,            0.009648
                  24,            0.033173,            0.004995,          0.00098119,             0.84135,             0.81414,             0.84466,             0.49263,            0.042741,           0.0025595,          0.00094221,            0.009632,            0.009632,            0.009632
                  25,            0.033516,           0.0054656,            0.001009,             0.85055,             0.77033,             0.85642,             0.50897,            0.041367,           0.0025959,          0.00098133,            0.009616,            0.009616,            0.009616
                  26,            0.033387,           0.0051853,          0.00099494,             0.85158,             0.75329,             0.81237,             0.44337,            0.044927,           0.0026746,          0.00097425,              0.0096,              0.0096,              0.0096
                  27,            0.033456,           0.0054448,          0.00095131,             0.87317,             0.80355,             0.85176,             0.52398,            0.040661,           0.0026101,            0.001015,            0.009584,            0.009584,            0.009584
                  28,            0.033056,           0.0063178,          0.00097184,             0.84452,             0.80229,             0.83602,             0.51694,            0.041335,           0.0026018,          0.00090885,            0.009568,            0.009568,            0.009568
                  29,            0.033081,           0.0060045,           0.0009504,              0.8618,             0.77216,             0.83834,             0.48828,            0.041624,           0.0026477,          0.00097206,            0.009552,            0.009552,            0.009552
                  30,            0.031515,           0.0046686,          0.00089342,             0.87427,             0.75453,             0.86271,             0.53504,            0.040605,           0.0025819,            0.000967,            0.009536,            0.009536,            0.009536
                  31,            0.031833,           0.0049579,          0.00083397,             0.83756,               0.792,             0.85209,             0.51031,            0.040776,           0.0027247,          0.00096298,             0.00952,             0.00952,             0.00952
                  32,            0.031528,           0.0048749,          0.00081402,             0.84201,             0.78289,             0.84627,              0.5269,            0.039034,           0.0025105,          0.00081191,            0.009504,            0.009504,            0.009504
                  33,            0.030901,           0.0047867,          0.00080529,             0.83014,             0.78912,             0.83704,             0.49902,            0.042733,           0.0025801,          0.00085655,            0.009488,            0.009488,            0.009488
                  34,            0.031804,           0.0051782,          0.00077942,              0.8087,             0.77317,             0.81123,             0.46666,            0.042222,            0.002583,           0.0010139,            0.009472,            0.009472,            0.009472
                  35,            0.031207,           0.0044622,          0.00075593,             0.81583,             0.77236,             0.81471,             0.48628,             0.04449,           0.0025284,           0.0012686,            0.009456,            0.009456,            0.009456
                  36,            0.031059,            0.005623,          0.00075537,             0.78707,             0.79284,             0.84046,             0.52576,            0.040479,           0.0025061,          0.00099583,             0.00944,             0.00944,             0.00944
                  37,            0.031339,           0.0046929,          0.00075974,             0.85868,             0.79678,             0.85898,             0.54001,            0.039714,           0.0025681,          0.00096383,            0.009424,            0.009424,            0.009424
                  38,            0.030945,           0.0046398,          0.00080006,             0.82282,             0.71262,             0.78434,             0.44129,            0.043862,           0.0027476,           0.0012587,            0.009408,            0.009408,            0.009408
                  39,            0.031259,           0.0044668,          0.00074597,             0.82942,             0.78465,             0.82354,             0.50058,            0.041438,           0.0026467,           0.0010046,            0.009392,            0.009392,            0.009392
                  40,            0.031171,           0.0052524,           0.0008204,             0.86858,              0.7653,             0.83767,             0.53463,            0.039237,           0.0025933,          0.00086572,            0.009376,            0.009376,            0.009376
                  41,             0.03124,            0.005029,          0.00085503,             0.85224,             0.80717,             0.85043,             0.52991,            0.039972,           0.0024773,           0.0010369,             0.00936,             0.00936,             0.00936
                  42,            0.029745,            0.005011,          0.00079925,             0.82561,             0.82807,             0.86005,             0.53701,            0.038883,           0.0025035,          0.00081201,            0.009344,            0.009344,            0.009344
                  43,            0.030566,           0.0046071,          0.00080133,             0.88799,             0.78885,             0.84804,             0.51854,            0.040582,           0.0026895,          0.00094447,            0.009328,            0.009328,            0.009328
                  44,            0.029551,           0.0056223,          0.00074414,             0.86884,              0.8151,             0.85386,             0.50632,            0.040947,           0.0026553,            0.001055,            0.009312,            0.009312,            0.009312
                  45,            0.029054,           0.0048664,          0.00070069,             0.81262,             0.84381,             0.85067,             0.51198,            0.039887,           0.0027342,          0.00095372,            0.009296,            0.009296,            0.009296
                  46,            0.029442,           0.0041214,          0.00064338,             0.83703,              0.7521,             0.80951,             0.48056,            0.041902,            0.002664,           0.0010913,             0.00928,             0.00928,             0.00928
                  47,            0.029971,           0.0051924,          0.00070928,             0.82342,             0.77316,             0.81467,             0.50121,            0.042385,           0.0026771,          0.00084596,            0.009264,            0.009264,            0.009264
                  48,            0.028524,           0.0042817,          0.00069997,             0.82431,             0.79703,             0.83322,             0.51642,            0.040019,           0.0026662,          0.00086278,            0.009248,            0.009248,            0.009248
                  49,            0.029094,           0.0051092,          0.00070886,             0.86298,             0.80187,             0.85938,             0.54021,            0.039329,           0.0026962,          0.00093756,            0.009232,            0.009232,            0.009232
                  50,            0.029406,           0.0050522,          0.00070666,             0.89741,             0.77136,             0.84021,             0.55328,            0.040076,           0.0025456,           0.0010046,            0.009216,            0.009216,            0.009216
                  51,            0.028931,           0.0043809,          0.00064683,             0.87037,             0.78349,             0.83821,              0.5106,            0.040592,           0.0026676,          0.00095091,              0.0092,              0.0092,              0.0092
                  52,            0.027441,           0.0035596,          0.00062862,             0.83268,             0.76368,             0.82904,             0.50557,            0.040995,           0.0027772,           0.0010922,            0.009184,            0.009184,            0.009184
                  53,            0.028452,           0.0045715,          0.00062028,             0.87803,             0.78031,             0.85515,             0.53049,            0.040973,           0.0027073,          0.00083301,            0.009168,            0.009168,            0.009168
                  54,            0.027743,           0.0051099,          0.00063359,             0.86227,             0.76961,             0.83331,             0.53472,            0.038906,           0.0026551,           0.0010513,            0.009152,            0.009152,            0.009152
                  55,            0.027491,           0.0042489,          0.00062358,              0.8627,             0.78101,             0.86458,             0.53889,            0.039102,           0.0026253,           0.0010054,            0.009136,            0.009136,            0.009136
                  56,            0.027991,           0.0042975,          0.00061709,             0.86077,             0.76822,             0.84571,             0.51653,            0.040331,           0.0027361,           0.0010329,             0.00912,             0.00912,             0.00912
                  57,            0.029287,            0.003977,          0.00060985,             0.85379,             0.78261,             0.82618,             0.50378,            0.040527,           0.0028363,          0.00083886,            0.009104,            0.009104,            0.009104
                  58,            0.028537,           0.0043003,          0.00060776,             0.86718,             0.75493,             0.82375,             0.49587,            0.044169,           0.0027096,           0.0010122,            0.009088,            0.009088,            0.009088
                  59,            0.028226,           0.0046016,          0.00059595,             0.85711,             0.79596,             0.83867,             0.51123,            0.040871,           0.0027489,          0.00077758,            0.009072,            0.009072,            0.009072
                  60,            0.027463,           0.0040255,          0.00054935,             0.85433,             0.76742,             0.81635,             0.52501,            0.040407,           0.0029756,          0.00085683,            0.009056,            0.009056,            0.009056
                  61,            0.028149,           0.0047738,          0.00061755,             0.86317,             0.75238,             0.81373,             0.51485,             0.04071,           0.0028403,            0.001034,             0.00904,             0.00904,             0.00904
                  62,            0.027843,           0.0050057,          0.00060328,             0.84266,             0.78326,             0.81763,             0.51576,            0.041176,           0.0027409,           0.0010397,            0.009024,            0.009024,            0.009024
                  63,             0.02596,           0.0041212,          0.00054429,             0.85569,             0.79893,             0.84517,             0.53591,            0.040349,           0.0027273,          0.00083394,            0.009008,            0.009008,            0.009008
                  64,            0.027731,           0.0052386,          0.00058296,             0.87015,             0.80007,             0.85724,             0.53012,            0.039982,           0.0026633,          0.00089258,            0.008992,            0.008992,            0.008992
                  65,            0.027271,           0.0038888,          0.00061308,             0.82538,             0.79499,             0.82602,              0.5326,            0.040671,            0.002749,           0.0011423,            0.008976,            0.008976,            0.008976
                  66,            0.027199,           0.0048577,          0.00056679,             0.88193,              0.7897,             0.84358,             0.53549,            0.039102,           0.0027553,           0.0009825,             0.00896,             0.00896,             0.00896
                  67,            0.027005,           0.0043805,          0.00054749,             0.86562,             0.75872,             0.83682,              0.5167,            0.040369,           0.0028866,          0.00090234,            0.008944,            0.008944,            0.008944
                  68,            0.027579,           0.0045991,          0.00052271,             0.85618,             0.79132,             0.82368,             0.51938,            0.041635,           0.0028321,           0.0009239,            0.008928,            0.008928,            0.008928
                  69,            0.026999,           0.0045488,          0.00053975,             0.79074,             0.77836,              0.8146,             0.50635,            0.041817,           0.0028126,           0.0010104,            0.008912,            0.008912,            0.008912
                  70,            0.027173,           0.0038797,          0.00057615,             0.84484,             0.81276,             0.82657,              0.5193,            0.040688,           0.0025811,          0.00089062,            0.008896,            0.008896,            0.008896
                  71,            0.026251,           0.0042682,          0.00063579,             0.85293,             0.76325,             0.82856,             0.54021,            0.040168,           0.0026571,          0.00092999,             0.00888,             0.00888,             0.00888
                  72,            0.026725,           0.0047497,          0.00057468,             0.84966,              0.7785,             0.82811,             0.53798,            0.039869,            0.002573,          0.00094621,            0.008864,            0.008864,            0.008864
                  73,            0.026059,           0.0037905,          0.00048867,             0.85708,             0.77854,             0.81977,             0.54171,            0.040333,           0.0027308,           0.0010725,            0.008848,            0.008848,            0.008848
                  74,            0.027431,            0.004553,          0.00062192,             0.86391,             0.79212,             0.82174,             0.52301,            0.040743,           0.0028566,           0.0010215,            0.008832,            0.008832,            0.008832
                  75,            0.026002,           0.0040949,          0.00054742,             0.90371,             0.77015,             0.82963,             0.52892,             0.04101,           0.0028965,          0.00084566,            0.008816,            0.008816,            0.008816
                  76,            0.026415,           0.0046287,          0.00054053,             0.88179,             0.79694,              0.8275,             0.55661,            0.038637,           0.0027604,          0.00082409,              0.0088,              0.0088,              0.0088
                  77,            0.025991,           0.0040884,          0.00046618,             0.86449,             0.75901,             0.82008,              0.5427,            0.040122,           0.0027787,           0.0009616,            0.008784,            0.008784,            0.008784
                  78,            0.026371,           0.0040719,          0.00052233,             0.83389,             0.77986,             0.82673,             0.50196,            0.041134,           0.0028716,          0.00085044,            0.008768,            0.008768,            0.008768
                  79,            0.025956,           0.0044515,          0.00052535,             0.84002,             0.81053,             0.85317,             0.53351,            0.039703,           0.0027928,          0.00077825,            0.008752,            0.008752,            0.008752
                  80,            0.025032,           0.0040137,          0.00051346,             0.84347,             0.78265,             0.83859,             0.53587,            0.039608,           0.0027816,          0.00088338,            0.008736,            0.008736,            0.008736
                  81,            0.026425,           0.0045912,          0.00050274,             0.88271,             0.79175,             0.83841,             0.52472,            0.039221,           0.0028266,          0.00090879,             0.00872,             0.00872,             0.00872
                  82,            0.025249,           0.0046851,          0.00048186,             0.85885,             0.78526,             0.83039,             0.53499,            0.038376,            0.002765,          0.00081174,            0.008704,            0.008704,            0.008704
                  83,            0.025096,            0.003685,           0.0004273,             0.84332,             0.78692,             0.81302,             0.52978,            0.040617,           0.0027317,          0.00094383,            0.008688,            0.008688,            0.008688
                  84,            0.025063,           0.0042779,          0.00047685,             0.82354,             0.76812,             0.82073,             0.53642,            0.039902,           0.0026728,          0.00089197,            0.008672,            0.008672,            0.008672
                  85,              0.0257,           0.0041141,          0.00053944,             0.85329,             0.81333,             0.83658,             0.53692,            0.039144,           0.0028313,          0.00089843,            0.008656,            0.008656,            0.008656
                  86,            0.025448,           0.0037326,           0.0005208,             0.85109,             0.77097,              0.8319,             0.51051,            0.041003,           0.0027858,           0.0010046,             0.00864,             0.00864,             0.00864
                  87,            0.025722,           0.0041758,          0.00047794,             0.88225,             0.75212,             0.82974,             0.51037,            0.042158,           0.0028294,          0.00093157,            0.008624,            0.008624,            0.008624
                  88,            0.025595,           0.0047428,          0.00050571,             0.84983,             0.79054,             0.83211,             0.53921,            0.040038,           0.0028672,          0.00079319,            0.008608,            0.008608,            0.008608
                  89,             0.02488,           0.0034581,          0.00048485,             0.87807,             0.78838,             0.84822,              0.5535,            0.040716,           0.0026523,          0.00073447,            0.008592,            0.008592,            0.008592
                  90,            0.024611,           0.0043837,           0.0004729,             0.83567,             0.80118,             0.82763,             0.54624,            0.039533,           0.0027413,           0.0007771,            0.008576,            0.008576,            0.008576
                  91,            0.024373,           0.0040793,          0.00050442,             0.87264,             0.81183,             0.84649,             0.54218,            0.040416,           0.0026441,          0.00089203,             0.00856,             0.00856,             0.00856
                  92,             0.02519,           0.0046218,          0.00046739,             0.87066,              0.7671,             0.82894,             0.52869,            0.041874,           0.0028082,          0.00083354,            0.008544,            0.008544,            0.008544
                  93,            0.025415,           0.0044746,          0.00046164,             0.88053,              0.7852,             0.85144,             0.55075,            0.040561,           0.0027504,          0.00075109,            0.008528,            0.008528,            0.008528
                  94,            0.024233,            0.003519,          0.00044246,             0.86081,             0.78915,             0.82558,             0.54191,            0.039958,           0.0027894,          0.00079103,            0.008512,            0.008512,            0.008512
                  95,            0.024383,             0.00418,          0.00046015,             0.89094,             0.80363,             0.85791,             0.54014,            0.039807,           0.0027223,          0.00062126,            0.008496,            0.008496,            0.008496
                  96,            0.023795,           0.0037141,          0.00043231,              0.8792,             0.79075,             0.84733,             0.55485,            0.039485,           0.0028579,          0.00058953,             0.00848,             0.00848,             0.00848
                  97,             0.02383,           0.0044574,          0.00050199,             0.88365,             0.76917,             0.83523,             0.54326,            0.038495,           0.0027852,          0.00076611,            0.008464,            0.008464,            0.008464
                  98,            0.023675,           0.0039253,          0.00043124,             0.84321,             0.80943,             0.84792,             0.54953,            0.038529,           0.0027801,          0.00092912,            0.008448,            0.008448,            0.008448
                  99,            0.025292,           0.0043102,          0.00046463,             0.81737,             0.80284,              0.8279,             0.53734,            0.038022,           0.0027851,          0.00085585,            0.008432,            0.008432,            0.008432
                 100,            0.024036,           0.0038558,          0.00042926,             0.89503,              0.7731,             0.84058,             0.52994,            0.040011,           0.0028307,           0.0010237,            0.008416,            0.008416,            0.008416
                 101,            0.024422,           0.0043383,           0.0004795,             0.80418,             0.81613,             0.81874,             0.51851,            0.040687,           0.0028649,           0.0010828,              0.0084,              0.0084,              0.0084
                 102,            0.023721,           0.0034159,          0.00039889,             0.85452,             0.76475,              0.8474,             0.53125,            0.040165,           0.0028417,          0.00095161,            0.008384,            0.008384,            0.008384
                 103,            0.024011,           0.0040864,          0.00041596,             0.89912,             0.72553,             0.82796,             0.54032,            0.040317,           0.0029612,          0.00095605,            0.008368,            0.008368,            0.008368
